year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2014,9,EU,전기기계부품,전기변환장치,발전기,24019,327,6.3,170,3.7,157
2014,9,EU,전기기계부품,전기변환장치,변압기,6,209,-1.9,87,0.4,122
2014,9,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,139,-2.6,131,12.1,8
2014,9,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,-1.3,23,-3.4,1
2014,9,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,427,2.1,402,12.6,25
2014,10,EU,전기기계부품,전기변환장치,전동기,순번,376,2.3,321,7.6,55
2014,10,EU,전기기계부품,전기변환장치,발전기,24019,398,12.9,189,16.9,209
2014,10,EU,전기기계부품,전기변환장치,변압기,6,197,-34.1,86,22.3,111
2014,10,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,145,-13.6,130,4.3,15
2014,10,EU,전기기계부품,전기변환장치,방전램프용안정기,5,26,-5.1,23,-22.1,3
2014,10,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,455,13.1,408,2.7,47
2014,11,EU,전기기계부품,전기변환장치,전동기,순번,348,4.5,284,12.3,64
2014,11,EU,전기기계부품,전기변환장치,발전기,24019,341,9.1,162,7.6,179
2014,11,EU,전기기계부품,전기변환장치,변압기,6,162,-31.0,72,7.3,90
2014,11,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,123,-18.8,119,13.8,4
2014,11,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,-12.6,19,-13.0,4
2014,11,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,420,6.5,379,11.3,41
2014,12,EU,전기기계부품,전기변환장치,전동기,순번,384,27.4,258,10.6,126
2014,12,EU,전기기계부품,전기변환장치,발전기,24019,405,13.3,134,8.9,271
2014,12,EU,전기기계부품,전기변환장치,변압기,6,237,11.1,69,17.0,168
2014,12,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,146,8.4,111,17.8,35
2014,12,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,16.4,18,-12.3,5
2014,12,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,423,21.4,384,18.2,39
2013,1,EU,전기기계부품,전기변환장치,전동기,순번,327,18.2,300,9.7,27
2013,1,EU,전기기계부품,전기변환장치,발전기,24019,286,-16.5,145,-4.0,141
2013,1,EU,전기기계부품,전기변환장치,변압기,6,172,7.4,76,-1.7,96
2013,1,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,146,-0.6,108,3.5,38
2013,1,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,16.2,30,-9.0,-6
2013,1,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,322,-5.8,370,3.7,-48
2013,2,EU,전기기계부품,전기변환장치,전동기,순번,308,0.8,231,-6.8,77
2013,2,EU,전기기계부품,전기변환장치,발전기,24019,260,-24.6,130,-8.3,130
2013,2,EU,전기기계부품,전기변환장치,변압기,6,190,-2.1,70,-2.8,120
2013,2,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,149,-5.3,92,-5.4,57
2013,2,EU,전기기계부품,전기변환장치,방전램프용안정기,5,25,1.6,28,19.1,-3
2013,2,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,327,3.7,320,2.5,7
2013,3,EU,전기기계부품,전기변환장치,전동기,순번,349,4.9,237,-6.1,112
2013,3,EU,전기기계부품,전기변환장치,발전기,24019,378,-10.8,153,-3.7,225
2013,3,EU,전기기계부품,전기변환장치,변압기,6,238,-17.6,76,-4.5,162
2013,3,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,161,-5.8,102,6.9,59
2013,3,EU,전기기계부품,전기변환장치,방전램프용안정기,5,27,3.6,23,-2.8,4
2013,3,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,371,-2.5,337,-0.7,34
2013,4,EU,전기기계부품,전기변환장치,전동기,순번,376,25.0,273,1.9,103
2013,4,EU,전기기계부품,전기변환장치,발전기,24019,370,-12.1,163,9.7,207
2013,4,EU,전기기계부품,전기변환장치,변압기,6,242,26.6,88,17.5,154
2013,4,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,153,-3.3,122,19.4,31
2013,4,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,-2.5,31,21.8,-7
2013,4,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,380,18.2,343,-3.9,37
2013,5,EU,전기기계부품,전기변환장치,전동기,순번,359,11.6,282,3.8,77
2013,5,EU,전기기계부품,전기변환장치,발전기,24019,370,-8.5,166,-6.0,204
2013,5,EU,전기기계부품,전기변환장치,변압기,6,190,-9.5,88,-9.2,102
2013,5,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,145,-9.3,116,4.5,29
2013,5,EU,전기기계부품,전기변환장치,방전램프용안정기,5,26,-3.0,29,-10.2,-3
2013,5,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,379,1.4,352,-5.6,27
2013,6,EU,전기기계부품,전기변환장치,전동기,순번,350,-1.5,255,0.3,95
2013,6,EU,전기기계부품,전기변환장치,발전기,24019,358,-15.4,145,-6.5,213
2013,6,EU,전기기계부품,전기변환장치,변압기,6,288,24.6,82,1.5,206
2013,6,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,146,-10.0,108,-3.4,38
2013,6,EU,전기기계부품,전기변환장치,방전램프용안정기,5,26,-0.8,24,-19.7,2
2013,6,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,395,11.8,332,-9.8,63
2013,7,EU,전기기계부품,전기변환장치,전동기,순번,401,11.7,282,3.7,119
2013,7,EU,전기기계부품,전기변환장치,발전기,24019,340,-17.6,159,0.9,181
2013,7,EU,전기기계부품,전기변환장치,변압기,6,270,25.0,87,-15.9,183
2013,7,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,160,-15.8,116,1.6,44
2013,7,EU,전기기계부품,전기변환장치,방전램프용안정기,5,28,-1.4,28,-3.1,0
2013,7,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,370,-6.0,364,-2.8,6
2013,8,EU,전기기계부품,전기변환장치,전동기,순번,320,-8.6,243,-3.5,77
2013,8,EU,전기기계부품,전기변환장치,발전기,24019,347,-11.5,149,2.9,198
2013,8,EU,전기기계부품,전기변환장치,변압기,6,216,19.8,77,-13.0,139
2013,8,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,132,-13.0,108,-6.4,24
2013,8,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,-7.8,23,-21.9,0
2013,8,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,377,0.5,341,-6.4,36
2013,9,EU,전기기계부품,전기변환장치,전동기,순번,323,1.6,279,11.8,44
2013,9,EU,전기기계부품,전기변환장치,발전기,24019,308,-7.6,164,-7.5,144
2013,9,EU,전기기계부품,전기변환장치,변압기,6,213,1.0,87,5.6,126
2013,9,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,143,-3.2,116,11.1,27
2013,9,EU,전기기계부품,전기변환장치,방전램프용안정기,5,24,-2.5,24,-6.6,0
2013,9,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,419,23.6,357,-0.7,62
2013,10,EU,전기기계부품,전기변환장치,전동기,순번,368,4.6,298,0.8,70
2013,10,EU,전기기계부품,전기변환장치,발전기,24019,353,-16.0,161,-3.8,192
2013,10,EU,전기기계부품,전기변환장치,변압기,6,299,51.0,70,-20.5,229
2013,10,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,167,-7.8,125,1.5,42
2013,10,EU,전기기계부품,전기변환장치,방전램프용안정기,5,27,-5.5,29,-0.4,-2
